Opportunity Name,Qualification Set Date,Qualification Scheduled Date,Industry,Amount,Stage,Fiscal Period,Created Date,SDR Owner,Assigned Account Executive,SAO Points Calculation,Meeting Held Date
Granite Industrial Services - SDR Set 43,2026-05-29,2026-06-05,HVAC Contractor,34000,Closed Won,Q2 2026,2026-05-29,Avery Greene,Lauren Park,1,2026-06-05
Ironclad Electric - SDR Set 44,2026-03-21,2026-04-03,General Contractor,76000,Evaluation,Q1 2026,2026-03-21,Avery Greene,Jamal Whitfield,1,2026-04-03
Crescent HVAC Co - SDR Set 45,2025-11-15,2025-11-24,Electrical Contractor,77000,Evaluation,Q4 2025,2025-11-15,Mira Schultz,Lauren Park,0,2025-11-24
Steeplechase Electric - SDR Set 46,2026-03-11,2026-03-21,General Contractor,73000,Qualification,Q1 2026,2026-03-11,Mira Schultz,Lauren Park,1,2026-03-21
Foothill Sheet Metal - SDR Set 47,2026-01-30,2026-02-11,Plumbing Contractor,28000,Qualification,Q1 2026,2026-01-30,Avery Greene,Jamal Whitfield,1,2026-02-11
Pinewood Construction Services - SDR Set 48,2026-01-08,2026-01-16,Plumbing Contractor,64000,Qualification,Q1 2026,2026-01-08,Avery Greene,Caroline Mead,1,2026-01-16
Cornerstone Mechanical - SDR Set 49,2026-03-05,2026-03-17,Mechanical Contractor,17000,Evaluation,Q1 2026,2026-03-05,Wes Kim,Jamal Whitfield,1,2026-03-17
Cascade Mechanical - SDR Set 50,2025-10-11,2025-10-16,Mechanical Contractor,86000,Evaluation,Q4 2025,2025-10-11,Wes Kim,Lauren Park,1,2025-10-16
Northwall Builders - SDR Set 51,2026-04-24,2026-04-29,Plumbing Contractor,60000,Evaluation,Q2 2026,2026-04-24,Avery Greene,Lauren Park,1,2026-04-29
Northwall Builders - SDR Set 52,2025-10-30,2025-11-07,Mechanical Contractor,50000,Closed Lost,Q4 2025,2025-10-30,Mira Schultz,Caroline Mead,1,2025-11-07
Cornerstone Mechanical - SDR Set 53,2025-11-08,2025-11-20,Industrial Services,73000,Evaluation,Q4 2025,2025-11-08,Wes Kim,Tomás Reyes,1,2025-11-20
Northwall Builders - SDR Set 54,2025-11-19,2025-11-23,Electrical Contractor,17000,Qualification,Q4 2025,2025-11-19,Mira Schultz,Lauren Park,0,2025-11-23
Ironclad Electric - SDR Set 55,2026-01-12,2026-01-24,HVAC Contractor,87000,Discovery,Q1 2026,2026-01-12,Avery Greene,Jamal Whitfield,0,2026-01-24
Compass Sheet Metal - SDR Set 56,2026-04-25,2026-04-30,Electrical Contractor,81000,Qualification,Q2 2026,2026-04-25,Wes Kim,Vikram Patel,1,2026-04-30
Pinewood Construction Services - SDR Set 57,2026-02-01,2026-02-11,Sheet Metal Contractor,90000,Qualification,Q1 2026,2026-02-01,Avery Greene,Harper Lin,1,2026-02-11
Foothill Sheet Metal - SDR Set 58,2025-10-11,2025-10-23,Specialty Trades,37000,Evaluation,Q4 2025,2025-10-11,Avery Greene,Vikram Patel,1,2025-10-23
Cornerstone Mechanical - SDR Set 59,2026-02-14,2026-02-22,HVAC Contractor,72000,Discovery,Q1 2026,2026-02-14,Wes Kim,Eddie Coleman,1,2026-02-22
Granite Industrial Services - SDR Set 60,2026-01-16,2026-01-19,Plumbing Contractor,81000,Closed Won,Q1 2026,2026-01-16,Wes Kim,Tomás Reyes,1,2026-01-19
Driftwood Mechanical - SDR Set 61,2026-04-24,2026-05-03,Industrial Services,65000,Evaluation,Q2 2026,2026-04-24,Avery Greene,Jamal Whitfield,1,2026-05-03
Compass Sheet Metal - SDR Set 62,2026-02-10,2026-02-20,HVAC Contractor,74000,Discovery,Q1 2026,2026-02-10,Mira Schultz,Caroline Mead,0,2026-02-20
Heritage Mechanical - SDR Set 63,2026-04-30,2026-05-11,Industrial Services,61000,Discovery,Q2 2026,2026-04-30,Wes Kim,Vikram Patel,0,2026-05-11
Cornerstone Mechanical - SDR Set 64,2025-10-22,2025-11-05,HVAC Contractor,69000,Qualification,Q4 2025,2025-10-22,Avery Greene,Jamal Whitfield,1,2025-11-05
Tannery Plumbing Co - SDR Set 65,2026-03-04,2026-03-17,Sheet Metal Contractor,49000,Evaluation,Q1 2026,2026-03-04,Mira Schultz,Jamal Whitfield,0,2026-03-17
Granite Industrial Services - SDR Set 66,2025-11-29,2025-12-10,Industrial Services,15000,Discovery,Q4 2025,2025-11-29,Wes Kim,Lauren Park,0,2025-12-10
Driftwood Mechanical - SDR Set 67,2026-04-10,2026-04-23,Electrical Contractor,72000,Evaluation,Q2 2026,2026-04-10,Mira Schultz,Harper Lin,1,2026-04-23
Tannery Plumbing Co - SDR Set 68,2025-10-19,2025-10-27,Mechanical Contractor,84000,Evaluation,Q4 2025,2025-10-19,Mira Schultz,Vikram Patel,1,2025-10-27
Anchor Plumbing - SDR Set 69,2025-11-13,2025-11-17,Electrical Contractor,74000,Qualification,Q4 2025,2025-11-13,Avery Greene,Caroline Mead,1,2025-11-17
Compass Sheet Metal - SDR Set 70,2026-04-29,2026-05-04,Specialty Trades,76000,Discovery,Q2 2026,2026-04-29,Avery Greene,Harper Lin,1,2026-05-04
Foothill Sheet Metal - SDR Set 71,2026-06-06,2026-06-18,Mechanical Contractor,93000,Qualification,Q2 2026,2026-06-06,Wes Kim,Vikram Patel,0,2026-06-18
Western Ridge Electrical - SDR Set 72,2026-02-05,2026-02-14,HVAC Contractor,85000,Discovery,Q1 2026,2026-02-05,Mira Schultz,Jamal Whitfield,1,2026-02-14
Atlas Sheet Metal - SDR Set 73,2025-12-07,2025-12-13,Industrial Services,17000,Qualification,Q4 2025,2025-12-07,Mira Schultz,Caroline Mead,1,2025-12-13
Pinewood Construction Services - SDR Set 74,2025-11-23,2025-11-26,Electrical Contractor,93000,Discovery,Q4 2025,2025-11-23,Avery Greene,Tomás Reyes,1,2025-11-26
Pinewood Construction Services - SDR Set 75,2026-04-10,2026-04-18,Industrial Services,38000,Discovery,Q2 2026,2026-04-10,Wes Kim,Harper Lin,1,2026-04-18
Foothill Sheet Metal - SDR Set 76,2026-03-19,2026-03-31,Electrical Contractor,23000,Qualification,Q1 2026,2026-03-19,Wes Kim,Jamal Whitfield,0,2026-03-31
Heritage Mechanical - SDR Set 77,2026-05-19,2026-06-02,Plumbing Contractor,34000,Discovery,Q2 2026,2026-05-19,Avery Greene,Harper Lin,1,2026-06-02
Pinewood Construction Services - SDR Set 78,2026-05-05,2026-05-08,HVAC Contractor,82000,Qualification,Q2 2026,2026-05-05,Avery Greene,Eddie Coleman,1,2026-05-08
Whitestone Electric - SDR Set 79,2025-12-07,2025-12-18,Electrical Contractor,97000,Closed Lost,Q4 2025,2025-12-07,Mira Schultz,Lauren Park,0,2025-12-18
Sentinel HVAC - SDR Set 80,2026-01-26,2026-01-31,General Contractor,93000,Discovery,Q1 2026,2026-01-26,Wes Kim,Tomás Reyes,0,2026-01-31
Pinewood Construction Services - SDR Set 81,2025-11-17,2025-11-25,Plumbing Contractor,18000,Qualification,Q4 2025,2025-11-17,Mira Schultz,Vikram Patel,1,2025-11-25
Summit Electric Inc - SDR Set 82,2026-02-07,2026-02-12,Specialty Trades,86000,Evaluation,Q1 2026,2026-02-07,Mira Schultz,Harper Lin,0,2026-02-12
Ironclad Electric - SDR Set 83,2025-11-03,2025-11-10,HVAC Contractor,16000,Closed Won,Q4 2025,2025-11-03,Wes Kim,Tomás Reyes,0,2025-11-10
Northwall Builders - SDR Set 84,2026-02-09,2026-02-22,Electrical Contractor,29000,Discovery,Q1 2026,2026-02-09,Avery Greene,Jamal Whitfield,0,2026-02-22
Lakefront Mechanical - SDR Set 85,2026-01-11,2026-01-15,Specialty Trades,44000,Qualification,Q1 2026,2026-01-11,Avery Greene,Harper Lin,0,2026-01-15
Riverbend Plumbing - SDR Set 86,2026-01-31,2026-02-08,Specialty Trades,17000,Closed Won,Q1 2026,2026-01-31,Mira Schultz,Tomás Reyes,1,2026-02-08
Northwall Builders - SDR Set 87,2026-01-06,2026-01-14,General Contractor,24000,Discovery,Q1 2026,2026-01-06,Mira Schultz,Tomás Reyes,1,2026-01-14
Cobalt Plumbing Group - SDR Set 88,2026-02-23,2026-03-06,HVAC Contractor,33000,Qualification,Q1 2026,2026-02-23,Avery Greene,Tomás Reyes,0,2026-03-06
Foothill Sheet Metal - SDR Set 89,2026-04-09,2026-04-21,Sheet Metal Contractor,22000,Closed Lost,Q2 2026,2026-04-09,Wes Kim,Caroline Mead,1,2026-04-21
Highline HVAC - SDR Set 90,2026-01-03,2026-01-12,Sheet Metal Contractor,66000,Discovery,Q1 2026,2026-01-03,Mira Schultz,Caroline Mead,0,2026-01-12
Northwall Builders - SDR Set 91,2026-04-30,2026-05-05,HVAC Contractor,60000,Qualification,Q2 2026,2026-04-30,Wes Kim,Harper Lin,0,2026-05-05
Driftwood Mechanical - SDR Set 92,2026-06-05,2026-06-09,General Contractor,34000,Qualification,Q2 2026,2026-06-05,Mira Schultz,Eddie Coleman,0,2026-06-09
Briarcliff Trades - SDR Set 93,2026-01-13,2026-01-22,Mechanical Contractor,81000,Evaluation,Q1 2026,2026-01-13,Mira Schultz,Jamal Whitfield,1,2026-01-22
Cobalt Plumbing Group - SDR Set 94,2025-11-19,2025-11-22,Sheet Metal Contractor,36000,Qualification,Q4 2025,2025-11-19,Avery Greene,Tomás Reyes,0,2025-11-22
Cobalt Plumbing Group - SDR Set 95,2026-05-12,2026-05-16,HVAC Contractor,44000,Qualification,Q2 2026,2026-05-12,Avery Greene,Eddie Coleman,1,2026-05-16
Lakefront Mechanical - SDR Set 96,2026-05-05,2026-05-15,Sheet Metal Contractor,81000,Discovery,Q2 2026,2026-05-05,Mira Schultz,Caroline Mead,1,2026-05-15
Compass Sheet Metal - SDR Set 97,2026-04-09,2026-04-21,General Contractor,33000,Evaluation,Q2 2026,2026-04-09,Avery Greene,Eddie Coleman,1,2026-04-21
Brookline Trades - SDR Set 98,2026-01-26,2026-02-07,Sheet Metal Contractor,99000,Discovery,Q1 2026,2026-01-26,Avery Greene,Eddie Coleman,1,2026-02-07
Pinewood Construction Services - SDR Set 99,2026-02-06,2026-02-20,Sheet Metal Contractor,25000,Discovery,Q1 2026,2026-02-06,Mira Schultz,Lauren Park,1,2026-02-20
Crescent HVAC Co - SDR Set 100,2026-03-29,2026-04-10,HVAC Contractor,87000,Qualification,Q1 2026,2026-03-29,Avery Greene,Lauren Park,1,2026-04-10
Riverbend Plumbing - SDR Set 101,2026-03-01,2026-03-15,Specialty Trades,23000,Qualification,Q1 2026,2026-03-01,Wes Kim,Lauren Park,1,2026-03-15
Highline HVAC - SDR Set 102,2026-02-05,2026-02-12,Specialty Trades,87000,Evaluation,Q1 2026,2026-02-05,Avery Greene,Eddie Coleman,1,2026-02-12
Northwall Builders - SDR Set 103,2025-10-29,2025-11-03,Electrical Contractor,94000,Evaluation,Q4 2025,2025-10-29,Avery Greene,Harper Lin,0,2025-11-03
Granite Industrial Services - SDR Set 104,2026-02-12,2026-02-15,Specialty Trades,50000,Discovery,Q1 2026,2026-02-12,Wes Kim,Lauren Park,1,2026-02-15
Atlas Sheet Metal - SDR Set 105,2025-10-11,2025-10-17,Mechanical Contractor,27000,Qualification,Q4 2025,2025-10-11,Avery Greene,Tomás Reyes,0,2025-10-17
Atlas Sheet Metal - SDR Set 106,2026-04-22,2026-04-25,Specialty Trades,75000,Discovery,Q2 2026,2026-04-22,Avery Greene,Vikram Patel,0,2026-04-25
Crescent HVAC Co - SDR Set 107,2026-01-21,2026-01-29,Mechanical Contractor,66000,Closed Won,Q1 2026,2026-01-21,Avery Greene,Harper Lin,1,2026-01-29
Whitestone Electric - SDR Set 108,2026-01-05,2026-01-12,Plumbing Contractor,49000,Qualification,Q1 2026,2026-01-05,Avery Greene,Lauren Park,0,2026-01-12
Heritage Mechanical - SDR Set 109,2026-04-23,2026-05-02,Plumbing Contractor,48000,Closed Lost,Q2 2026,2026-04-23,Mira Schultz,Harper Lin,0,2026-05-02
Lakefront Mechanical - SDR Set 110,2025-10-13,2025-10-24,Specialty Trades,72000,Qualification,Q4 2025,2025-10-13,Wes Kim,Tomás Reyes,1,2025-10-24
Sentinel HVAC - SDR Set 111,2026-01-19,2026-01-24,Electrical Contractor,57000,Qualification,Q1 2026,2026-01-19,Wes Kim,Eddie Coleman,1,2026-01-24
Beacon Industrial - SDR Set 112,2025-11-11,2025-11-22,Plumbing Contractor,47000,Discovery,Q4 2025,2025-11-11,Mira Schultz,Jamal Whitfield,0,2025-11-22
Magnolia Builders - SDR Set 113,2026-03-25,2026-04-04,Industrial Services,40000,Closed Won,Q1 2026,2026-03-25,Avery Greene,Harper Lin,0,2026-04-04
Cornerstone Mechanical - SDR Set 114,2026-03-12,2026-03-24,General Contractor,91000,Discovery,Q1 2026,2026-03-12,Avery Greene,Caroline Mead,1,2026-03-24
Summit Electric Inc - SDR Set 115,2026-02-21,2026-02-26,Mechanical Contractor,73000,Discovery,Q1 2026,2026-02-21,Mira Schultz,Eddie Coleman,0,2026-02-26
Summit Electric Inc - SDR Set 116,2026-05-15,2026-05-18,Plumbing Contractor,23000,Closed Lost,Q2 2026,2026-05-15,Mira Schultz,Tomás Reyes,0,2026-05-18
Cobalt Plumbing Group - SDR Set 117,2026-06-07,2026-06-11,Mechanical Contractor,69000,Closed Lost,Q2 2026,2026-06-07,Mira Schultz,Vikram Patel,0,2026-06-11
Whitestone Electric - SDR Set 118,2026-02-01,2026-02-13,Electrical Contractor,91000,Qualification,Q1 2026,2026-02-01,Avery Greene,Harper Lin,0,2026-02-13
Ironclad Electric - SDR Set 119,2026-01-10,2026-01-17,Electrical Contractor,58000,Evaluation,Q1 2026,2026-01-10,Avery Greene,Jamal Whitfield,1,2026-01-17
Magnolia Builders - SDR Set 120,2026-03-11,2026-03-15,Plumbing Contractor,48000,Qualification,Q1 2026,2026-03-11,Wes Kim,Vikram Patel,0,2026-03-15
Pinewood Construction Services - SDR Set 121,2026-06-11,2026-06-20,Plumbing Contractor,76000,Qualification,Q2 2026,2026-06-11,Mira Schultz,Lauren Park,1,2026-06-20
Ironclad Electric - SDR Set 122,2025-10-09,2025-10-20,Mechanical Contractor,51000,Evaluation,Q4 2025,2025-10-09,Wes Kim,Caroline Mead,1,2025-10-20
Granite Industrial Services - SDR Set 123,2025-10-27,2025-11-05,Plumbing Contractor,75000,Closed Won,Q4 2025,2025-10-27,Wes Kim,Harper Lin,1,2025-11-05
Riverbend Plumbing - SDR Set 124,2026-01-16,2026-01-19,Mechanical Contractor,44000,Evaluation,Q1 2026,2026-01-16,Wes Kim,Harper Lin,0,2026-01-19
Atlas Sheet Metal - SDR Set 125,2025-10-16,2025-10-25,HVAC Contractor,84000,Closed Won,Q4 2025,2025-10-16,Wes Kim,Tomás Reyes,1,2025-10-25
Crescent HVAC Co - SDR Set 126,2026-06-02,2026-06-12,Mechanical Contractor,44000,Qualification,Q2 2026,2026-06-02,Mira Schultz,Caroline Mead,0,2026-06-12
Foothill Sheet Metal - SDR Set 127,2025-10-26,2025-11-05,General Contractor,77000,Discovery,Q4 2025,2025-10-26,Wes Kim,Harper Lin,0,2025-11-05
Heritage Mechanical - SDR Set 128,2026-02-22,2026-03-02,Mechanical Contractor,62000,Qualification,Q1 2026,2026-02-22,Wes Kim,Tomás Reyes,1,2026-03-02
Cascade Mechanical - SDR Set 129,2026-05-17,2026-05-25,Specialty Trades,25000,Discovery,Q2 2026,2026-05-17,Avery Greene,Caroline Mead,1,2026-05-25
Cascade Mechanical - SDR Set 130,2026-01-22,2026-01-29,Sheet Metal Contractor,18000,Qualification,Q1 2026,2026-01-22,Avery Greene,Vikram Patel,0,2026-01-29
Lakefront Mechanical - SDR Set 131,2026-02-05,2026-02-09,Specialty Trades,95000,Discovery,Q1 2026,2026-02-05,Mira Schultz,Jamal Whitfield,0,2026-02-09
Crescent HVAC Co - SDR Set 132,2026-03-30,2026-04-11,Electrical Contractor,47000,Discovery,Q1 2026,2026-03-30,Avery Greene,Jamal Whitfield,0,2026-04-11
Northwall Builders - SDR Set 133,2026-01-14,2026-01-23,Industrial Services,97000,Qualification,Q1 2026,2026-01-14,Mira Schultz,Vikram Patel,0,2026-01-23
Cobalt Plumbing Group - SDR Set 134,2026-01-28,2026-02-09,General Contractor,20000,Closed Lost,Q1 2026,2026-01-28,Wes Kim,Eddie Coleman,0,2026-02-09
Heritage Mechanical - SDR Set 135,2026-01-29,2026-02-05,Plumbing Contractor,87000,Qualification,Q1 2026,2026-01-29,Wes Kim,Caroline Mead,1,2026-02-05
Magnolia Builders - SDR Set 136,2026-04-13,2026-04-19,Sheet Metal Contractor,91000,Evaluation,Q2 2026,2026-04-13,Wes Kim,Harper Lin,0,2026-04-19
Whitestone Electric - SDR Set 137,2026-05-11,2026-05-18,Industrial Services,49000,Discovery,Q2 2026,2026-05-11,Mira Schultz,Caroline Mead,0,2026-05-18
Pinewood Construction Services - SDR Set 138,2026-04-20,2026-05-04,General Contractor,27000,Qualification,Q2 2026,2026-04-20,Wes Kim,Harper Lin,1,2026-05-04
Atlas Sheet Metal - SDR Set 139,2026-02-07,2026-02-12,HVAC Contractor,16000,Evaluation,Q1 2026,2026-02-07,Avery Greene,Vikram Patel,0,2026-02-12
Sentinel HVAC - SDR Set 140,2026-01-28,2026-02-06,Specialty Trades,20000,Evaluation,Q1 2026,2026-01-28,Avery Greene,Harper Lin,1,2026-02-06
Northwall Builders - SDR Set 141,2025-12-14,2025-12-25,Electrical Contractor,20000,Discovery,Q4 2025,2025-12-14,Mira Schultz,Vikram Patel,0,2025-12-25
Brookline Trades - SDR Set 142,2026-02-14,2026-02-21,HVAC Contractor,43000,Qualification,Q1 2026,2026-02-14,Wes Kim,Eddie Coleman,0,2026-02-21
Highline HVAC - SDR Set 143,2025-12-18,2025-12-29,HVAC Contractor,89000,Closed Won,Q4 2025,2025-12-18,Wes Kim,Eddie Coleman,1,2025-12-29
Foothill Sheet Metal - SDR Set 144,2026-03-29,2026-04-09,Plumbing Contractor,69000,Qualification,Q1 2026,2026-03-29,Wes Kim,Jamal Whitfield,1,2026-04-09
Magnolia Builders - SDR Set 145,2026-03-28,2026-04-10,Mechanical Contractor,95000,Evaluation,Q1 2026,2026-03-28,Wes Kim,Caroline Mead,0,2026-04-10
Briarcliff Trades - SDR Set 146,2025-10-09,2025-10-18,General Contractor,81000,Discovery,Q4 2025,2025-10-09,Avery Greene,Caroline Mead,1,2025-10-18
Heritage Mechanical - SDR Set 147,2026-04-07,2026-04-20,Industrial Services,31000,Qualification,Q2 2026,2026-04-07,Avery Greene,Caroline Mead,1,2026-04-20
Granite Industrial Services - SDR Set 148,2026-03-10,2026-03-23,Sheet Metal Contractor,98000,Qualification,Q1 2026,2026-03-10,Wes Kim,Vikram Patel,0,2026-03-23
Granite Industrial Services - SDR Set 149,2026-05-09,2026-05-20,Mechanical Contractor,36000,Qualification,Q2 2026,2026-05-09,Mira Schultz,Jamal Whitfield,1,2026-05-20
Highline HVAC - SDR Set 150,2026-03-20,2026-03-30,Plumbing Contractor,87000,Qualification,Q1 2026,2026-03-20,Avery Greene,Caroline Mead,1,2026-03-30
Pinewood Construction Services - SDR Set 151,2026-03-19,2026-03-25,Electrical Contractor,46000,Qualification,Q1 2026,2026-03-19,Mira Schultz,Vikram Patel,1,2026-03-25
Cobalt Plumbing Group - SDR Set 152,2026-05-02,2026-05-06,General Contractor,83000,Discovery,Q2 2026,2026-05-02,Avery Greene,Caroline Mead,1,2026-05-06
Driftwood Mechanical - SDR Set 153,2025-12-04,2025-12-09,Mechanical Contractor,24000,Qualification,Q4 2025,2025-12-04,Mira Schultz,Eddie Coleman,1,2025-12-09
Cascade Mechanical - SDR Set 154,2026-06-04,2026-06-09,HVAC Contractor,35000,Qualification,Q2 2026,2026-06-04,Wes Kim,Harper Lin,0,2026-06-09
Briarcliff Trades - SDR Set 155,2026-03-01,2026-03-05,Plumbing Contractor,91000,Evaluation,Q1 2026,2026-03-01,Mira Schultz,Lauren Park,1,2026-03-05
Driftwood Mechanical - SDR Set 156,2025-10-08,2025-10-17,HVAC Contractor,22000,Discovery,Q4 2025,2025-10-08,Mira Schultz,Tomás Reyes,1,2025-10-17
