Opportunity Name,Opportunity Owner,Account Name,SDR Owner,Opportunity Source,Amount,Created Date,Discovery Date,Evaluation Date,Negotiation Date,Close Date,Stage Duration,Last Stage Change Date,Annual Revenue,Opportunity Owner: Manager,Opp Set Type,Stage,Account Segment,Recurring ARR,Primary Contact: P Level,Industry,First NB Opp?,Account: Last Activity,Last Activity,Discount Amount,Discount Percentage,Recurring Discount Percentage,Opportunity BPS,Type,Opportunity Record Type,Opportunity ID (18 Char),Probability (%),Contract Term (Month),Payment Terms,Invoice Frequency
Ironclad Electric - CW 11,Vikram Patel,Ironclad Electric,Mira Schultz,Outbound,90000,2025-02-15,2025-02-18,2025-03-10,2025-05-03,2025-06-12,34,2025-03-04,145719109,Patrick Yu,SDR Set - Outbound,Closed Won,ENT,78700,,Electrical Contractor,false,2026-05-14,2026-05-09,0,0%,0%,5.4,New Business,New Business,006DEMO00000000010,100,12,Net 30,Annual
Lakefront Mechanical - CL 12,Vikram Patel,Lakefront Mechanical,,Outbound,229000,2025-01-14,2025-01-19,2025-02-17,2025-04-02,2025-05-29,54,2025-01-28,135005733,Patrick Yu,AE - Self Set,Closed Lost,ENT,214300,VP,Sheet Metal Contractor,false,2026-04-23,2026-05-02,0,0%,0%,15.87,New Business,New Business,006DEMO00000000011,0,12,Net 30,Annual
Granite Industrial Services - NB 13,Tomás Reyes,Granite Industrial Services,Avery Greene,Outbound,68000,2026-04-01,2026-04-05,2026-04-28,2026-06-03,2026-08-21,45,2026-04-15,68935661,Kevin Brand,SDR Set - Outbound,Qualification,MM,59500,Director,Electrical Contractor,true,2026-05-13,2026-05-09,12920,19%,19%,8.63,New Business,New Business,006DEMO00000000012,10,12,Net 30,Annual
Northwall Builders - NB 14,Harper Lin,Northwall Builders,Wes Kim,6s Intent Signals,82000,2026-05-09,2026-05-11,2026-05-25,2026-07-14,2026-06-08,26,2026-05-18,89529646,Patrick Yu,6s,Qualification,ENT,77600,C-Level,Electrical Contractor,false,2026-04-18,2026-05-14,0,0%,0%,8.67,New Business,New Business,006DEMO00000000013,10,12,Net 30,Annual
Tannery Plumbing Co - CL 15,Lauren Park,Tannery Plumbing Co,,Partner,78000,2025-03-29,2025-04-03,2025-04-22,2025-06-25,2025-05-04,43,2025-04-13,56580972,Kevin Brand,Partner,Closed Lost,MM,62500,Manager,Sheet Metal Contractor,false,2026-04-20,2026-05-03,0,0%,0%,11.05,New Business,New Business,006DEMO00000000014,0,12,Net 30,Annual
Briarcliff Trades - CL 16,Jamal Whitfield,Briarcliff Trades,Wes Kim,Outbound,42000,2025-02-23,2025-02-26,2025-03-15,2025-04-14,2025-06-24,52,2025-03-02,43864089,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,34500,,Industrial Services,true,2026-04-23,2026-05-08,0,0%,0%,7.87,New Business,New Business,006DEMO00000000015,0,12,Net 30,Annual
Ironclad Electric - CL 17,Caroline Mead,Ironclad Electric,,Inbound,88000,2025-03-06,2025-03-07,2025-03-23,2025-05-11,2025-04-23,18,2025-03-13,285484814,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,70200,VP,Specialty Trades,false,2026-05-08,2026-05-02,0,0%,0%,2.46,New Business,New Business,006DEMO00000000016,0,12,Net 30,Annual
Magnolia Builders - CL 18,Jamal Whitfield,Magnolia Builders,Avery Greene,Outbound,41000,2025-06-16,2025-06-20,2025-07-13,2025-09-18,2026-01-03,46,2025-06-29,25576943,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,37700,C-Level,Plumbing Contractor,false,2026-05-01,2026-05-14,0,0%,0%,14.74,New Business,New Business,006DEMO00000000017,0,12,Net 30,Quarterly
Ironclad Electric - CW 19,Caroline Mead,Ironclad Electric,,Inbound,112000,2025-08-09,2025-08-14,2025-08-31,2025-10-29,2025-12-29,30,2025-08-26,253903140,Patrick Yu,AE Set - Inbound,Closed Won,ENT,96000,,HVAC Contractor,true,2026-04-25,2026-05-01,0,0%,0%,3.78,New Business,New Business,006DEMO00000000018,100,12,Net 30,Annual
Foothill Sheet Metal - NB 20,Caroline Mead,Foothill Sheet Metal,,Webinar,70000,2025-11-28,2025-12-01,2025-12-22,2026-02-25,2026-08-31,8,2025-12-09,206840982,Patrick Yu,Webinar,Discovery,ENT,63800,Manager,Industrial Services,false,2026-05-07,2026-05-05,0,0%,0%,3.08,New Business,New Business,006DEMO00000000019,25,12,Net 30,Quarterly
Tannery Plumbing Co - NB 21,Caroline Mead,Tannery Plumbing Co,,Webinar,123000,2026-05-21,2026-05-22,2026-06-18,2026-07-25,2026-09-02,4,2026-05-27,203525618,Patrick Yu,Webinar,Discovery,ENT,114000,Manager,Electrical Contractor,false,2026-04-25,2026-05-08,0,0%,0%,5.6,New Business,New Business,006DEMO00000000020,25,12,Net 30,Semi-Annually
Pinewood Construction Services - CL 22,Caroline Mead,Pinewood Construction Services,,Inbound,112000,2025-02-26,2025-03-03,2025-03-23,2025-05-03,2025-06-22,31,2025-03-09,339077131,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,96400,C-Level,Mechanical Contractor,true,2026-04-23,2026-05-12,17920,16%,16%,2.84,New Business,New Business,006DEMO00000000021,0,12,Net 30,Annual
Steeplechase Electric - CL 23,Tomás Reyes,Steeplechase Electric,Avery Greene,Outbound,46000,2025-09-27,2025-09-30,2025-10-19,2025-11-25,2026-02-17,44,2025-10-11,43501080,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,36100,C-Level,General Contractor,false,2026-04-22,2026-05-13,5060,11%,11%,8.3,New Business,New Business,006DEMO00000000022,0,12,Net 30,Semi-Annually
Anchor Plumbing - NB 24,Harper Lin,Anchor Plumbing,,Outbound,99000,2026-02-02,2026-02-04,2026-02-23,2026-03-28,2026-08-22,37,2026-02-06,316593777,Patrick Yu,AE - Self Set,Discovery,ENT,91800,VP,HVAC Contractor,false,2026-04-18,2026-05-13,18810,19%,19%,2.9,New Business,New Business,006DEMO00000000023,25,12,Net 30,Quarterly
Compass Sheet Metal - NB 25,Jamal Whitfield,Compass Sheet Metal,Wes Kim,Outbound,42000,2026-03-13,2026-03-15,2026-03-30,2026-06-04,2026-09-11,36,2026-03-29,28012807,Kevin Brand,SDR Set - Outbound,Qualification,MM,35800,VP,Sheet Metal Contractor,true,2026-04-28,2026-05-07,0,0%,0%,12.78,New Business,New Business,006DEMO00000000024,10,12,Net 30,Quarterly
Highline HVAC - NB 26,Tomás Reyes,Highline HVAC,,Partner,42000,2026-03-20,2026-03-25,2026-04-18,2026-06-12,2026-06-26,35,2026-04-05,36644758,Kevin Brand,Partner,Contracts/Negotiation,MM,31600,Manager,Electrical Contractor,false,2026-05-12,2026-05-12,3360,8%,8%,8.62,New Business,New Business,006DEMO00000000025,75,12,Net 30,Annual
Highline HVAC - NB 27,Caroline Mead,Highline HVAC,,Event,244000,2026-01-10,2026-01-12,2026-01-31,2026-03-21,2026-07-11,34,2026-01-13,232628368,Patrick Yu,Event,Discovery,ENT,183900,Director,Plumbing Contractor,false,2026-04-27,2026-05-05,0,0%,0%,7.91,New Business,New Business,006DEMO00000000026,25,12,Net 30,Quarterly
Magnolia Builders - CL 28,Caroline Mead,Magnolia Builders,Mira Schultz,6s Intent Signals,46000,2025-07-22,2025-07-25,2025-08-23,2025-09-27,2025-11-14,58,2025-08-03,138275113,Patrick Yu,6s,Closed Lost,ENT,40300,VP,Mechanical Contractor,true,2026-05-10,2026-05-04,3220,7%,7%,2.91,New Business,New Business,006DEMO00000000027,0,12,Net 30,Quarterly
Anchor Plumbing - CL 29,Harper Lin,Anchor Plumbing,Wes Kim,Outbound,244000,2025-10-04,2025-10-05,2025-10-28,2025-11-19,2025-12-30,19,2025-10-13,250132190,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,224500,Manager,Mechanical Contractor,false,2026-04-18,2026-05-14,0,0%,0%,8.98,New Business,New Business,006DEMO00000000028,0,12,Net 30,Semi-Annually
Northwall Builders - CL 30,Caroline Mead,Northwall Builders,Wes Kim,Outbound,48000,2025-07-28,2025-08-01,2025-08-16,2025-10-26,2026-02-03,26,2025-08-02,120802847,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,37800,VP,Electrical Contractor,false,2026-05-07,2026-05-01,0,0%,0%,3.13,New Business,New Business,006DEMO00000000029,0,12,Net 30,Annual
Beacon Industrial - CL 31,Harper Lin,Beacon Industrial,,Partner,40000,2025-10-17,2025-10-22,2025-11-21,2025-12-08,2026-01-24,32,2025-10-31,197274303,Patrick Yu,Partner,Closed Lost,ENT,33900,Director,Sheet Metal Contractor,true,2026-04-15,2026-05-07,0,0%,0%,1.72,New Business,New Business,006DEMO00000000030,0,12,Net 30,Annual
Briarcliff Trades - NB 32,Harper Lin,Briarcliff Trades,Wes Kim,Outbound,24000,2026-03-15,2026-03-17,2026-04-02,2026-05-06,2026-06-21,23,2026-03-18,178997209,Patrick Yu,SDR Set - Outbound,Discovery,ENT,18700,VP,Industrial Services,false,2026-05-03,2026-05-10,1440,6%,6%,1.04,New Business,New Business,006DEMO00000000031,25,12,Net 30,Annual
Summit Electric Inc - CW 33,Lauren Park,Summit Electric Inc,,Outbound,61000,2025-06-19,2025-06-20,2025-07-05,2025-08-21,2025-10-17,31,2025-07-02,8554574,Kevin Brand,AE - Self Set,Closed Won,MM,47700,VP,General Contractor,false,2026-04-22,2026-05-12,0,0%,0%,55.76,New Business,New Business,006DEMO00000000032,100,12,Net 30,Annual
Ironclad Electric - CW 34,Caroline Mead,Ironclad Electric,,Inbound,45000,2025-06-16,2025-06-19,2025-07-10,2025-08-08,2025-10-24,52,2025-06-30,205605744,Patrick Yu,AE Set - Inbound,Closed Won,ENT,36700,Director,Plumbing Contractor,true,2026-05-13,2026-05-10,0,0%,0%,1.78,New Business,New Business,006DEMO00000000033,100,12,Net 30,Annual
Crescent HVAC Co - NB 35,Vikram Patel,Crescent HVAC Co,Mira Schultz,Outbound,193000,2025-11-23,2025-11-24,2025-12-13,2026-02-10,2026-06-30,51,2025-11-28,325696618,Patrick Yu,SDR Set - Outbound,Discovery,ENT,152800,,General Contractor,false,2026-04-27,2026-05-11,0,0%,0%,4.69,New Business,New Business,006DEMO00000000034,25,12,Net 30,Annual
Magnolia Builders - NB 36,Caroline Mead,Magnolia Builders,,Inbound,185000,2026-02-25,2026-02-26,2026-03-14,2026-04-13,2026-08-27,45,2026-03-01,238173409,Patrick Yu,AE Set - Inbound,Contracts/Negotiation,ENT,148700,Manager,Specialty Trades,false,2026-05-09,2026-05-02,0,0%,0%,6.24,New Business,New Business,006DEMO00000000035,75,12,Net 30,Annual
Northwall Builders - CL 37,Caroline Mead,Northwall Builders,,Inbound,153000,2025-04-13,2025-04-17,2025-05-11,2025-07-14,2025-12-17,55,2025-04-24,80535179,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,127800,VP,HVAC Contractor,true,2026-05-04,2026-05-06,0,0%,0%,15.87,New Business,New Business,006DEMO00000000036,0,12,Net 30,Annual
Magnolia Builders - CL 38,Lauren Park,Magnolia Builders,,Inbound,58000,2025-07-22,2025-07-27,2025-08-10,2025-09-13,2025-10-26,10,2025-08-09,6810252,Kevin Brand,AE Set - Inbound,Closed Lost,MM,52300,,Sheet Metal Contractor,false,2026-05-13,2026-05-10,0,0%,0%,76.8,New Business,New Business,006DEMO00000000037,0,12,Net 30,Annual
Pinewood Construction Services - CL 39,Vikram Patel,Pinewood Construction Services,,Webinar,249000,2025-08-18,2025-08-22,2025-09-19,2025-10-30,2025-10-22,10,2025-09-03,335534771,Patrick Yu,Webinar,Closed Lost,ENT,229700,VP,General Contractor,false,2026-04-18,2026-05-08,39840,16%,16%,6.85,New Business,New Business,006DEMO00000000038,0,12,Net 30,Annual
Cornerstone Mechanical - CL 40,Tomás Reyes,Cornerstone Mechanical,,Webinar,18000,2025-03-05,2025-03-06,2025-03-23,2025-06-01,2025-11-29,36,2025-03-10,32171727,Kevin Brand,Webinar,Closed Lost,MM,16600,,Industrial Services,true,2026-05-09,2026-05-02,6840,38%,38%,5.16,New Business,New Business,006DEMO00000000039,0,12,Net 30,Annual
Beacon Industrial - NB 41,Tomás Reyes,Beacon Industrial,,Inbound,47000,2025-12-17,2025-12-22,2026-01-20,2026-03-19,2026-06-07,3,2025-12-31,29838217,Kevin Brand,AE Set - Inbound,Contracts/Negotiation,MM,42800,VP,Industrial Services,false,2026-05-09,2026-05-10,0,0%,0%,14.34,New Business,New Business,006DEMO00000000040,75,12,Net 30,Monthly
Tannery Plumbing Co - NB 42,Vikram Patel,Tannery Plumbing Co,,Inbound,196000,2026-01-03,2026-01-08,2026-01-29,2026-03-12,2026-06-20,29,2026-01-12,297356489,Patrick Yu,AE Set - Inbound,Contracts/Negotiation,ENT,170700,,Plumbing Contractor,false,2026-04-20,2026-05-06,0,0%,0%,5.74,New Business,New Business,006DEMO00000000041,75,12,Net 30,Semi-Annually
Driftwood Mechanical - CL 43,Caroline Mead,Driftwood Mechanical,,Inbound,154000,2025-08-07,2025-08-12,2025-09-03,2025-10-15,2026-04-27,5,2025-08-24,84565906,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,139300,VP,Specialty Trades,true,2026-04-26,2026-05-12,0,0%,0%,16.47,New Business,New Business,006DEMO00000000042,0,12,Net 30,Semi-Annually
Briarcliff Trades - CL 44,Tomás Reyes,Briarcliff Trades,,Outbound,60000,2025-08-21,2025-08-26,2025-09-14,2025-10-22,2026-04-18,49,2025-09-09,20641698,Kevin Brand,AE - Self Set,Closed Lost,MM,47800,C-Level,Electrical Contractor,false,2026-05-07,2026-05-08,5400,9%,9%,23.16,New Business,New Business,006DEMO00000000043,0,12,Net 30,Semi-Annually
Ironclad Electric - CL 45,Caroline Mead,Ironclad Electric,,Inbound,22000,2025-10-09,2025-10-10,2025-11-03,2025-12-23,2026-05-15,3,2025-10-18,285061410,Patrick Yu,AE Set - Inbound,Closed Lost,ENT,16500,C-Level,Electrical Contractor,false,2026-04-21,2026-05-02,0,0%,0%,0.58,New Business,New Business,006DEMO00000000044,0,12,Net 30,Quarterly
Tannery Plumbing Co - CW 46,Harper Lin,Tannery Plumbing Co,Mira Schultz,6s Intent Signals,174000,2025-07-23,2025-07-26,2025-08-16,2025-09-23,2025-10-12,6,2025-07-30,129436488,Patrick Yu,6s,Closed Won,ENT,165000,,HVAC Contractor,true,2026-04-23,2026-05-02,41760,24%,24%,12.75,New Business,New Business,006DEMO00000000045,100,12,Net 30,Annual
Pinewood Construction Services - CL 47,Caroline Mead,Pinewood Construction Services,Mira Schultz,Outbound,68000,2025-11-03,2025-11-08,2025-11-24,2026-01-09,2026-02-26,15,2025-11-17,240403383,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,56900,VP,Sheet Metal Contractor,false,2026-04-23,2026-05-06,19720,29%,29%,2.37,New Business,New Business,006DEMO00000000046,0,12,Net 30,Monthly
Riverbend Plumbing - CL 48,Jamal Whitfield,Riverbend Plumbing,,Inbound,19000,2025-02-25,2025-03-01,2025-03-31,2025-05-10,2025-11-23,49,2025-03-10,13365983,Kevin Brand,AE Set - Inbound,Closed Lost,MM,16400,Manager,General Contractor,false,2026-05-02,2026-05-10,0,0%,0%,12.27,New Business,New Business,006DEMO00000000047,0,12,Net 30,Monthly
Lakefront Mechanical - NB 49,Harper Lin,Lakefront Mechanical,Mira Schultz,6s Intent Signals,149000,2026-01-16,2026-01-17,2026-02-11,2026-03-22,2026-06-04,15,2026-01-20,315395496,Patrick Yu,6s,Evaluation,ENT,111800,C-Level,Sheet Metal Contractor,true,2026-04-25,2026-05-13,0,0%,0%,3.54,New Business,New Business,006DEMO00000000048,50,12,Net 30,Annual
Western Ridge Electrical - NB 50,Harper Lin,Western Ridge Electrical,Mira Schultz,Outbound,188000,2026-04-07,2026-04-11,2026-05-07,2026-06-04,2026-09-02,6,2026-04-12,220046202,Patrick Yu,SDR Set - Outbound,Discovery,ENT,174800,Director,Plumbing Contractor,false,2026-05-11,2026-05-10,60160,32%,32%,7.94,New Business,New Business,006DEMO00000000049,25,12,Net 30,Annual
Steeplechase Electric - CL 51,Harper Lin,Steeplechase Electric,Avery Greene,Outbound,199000,2025-01-26,2025-01-29,2025-02-22,2025-03-30,2025-07-14,11,2025-02-05,333686812,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,155200,Manager,HVAC Contractor,false,2026-04-30,2026-05-11,0,0%,0%,4.65,New Business,New Business,006DEMO00000000050,0,12,Net 30,Annual
Compass Sheet Metal - CL 52,Vikram Patel,Compass Sheet Metal,Mira Schultz,Outbound,31000,2025-04-12,2025-04-14,2025-05-11,2025-06-02,2025-11-11,51,2025-04-24,334756516,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,29000,,Mechanical Contractor,true,2026-04-21,2026-05-01,0,0%,0%,0.87,New Business,New Business,006DEMO00000000051,0,12,Net 30,Quarterly
Pinewood Construction Services - CL 53,Harper Lin,Pinewood Construction Services,Wes Kim,Outbound,199000,2025-10-07,2025-10-10,2025-10-27,2025-11-26,2026-01-11,27,2025-10-21,282566544,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,185400,Manager,General Contractor,false,2026-04-20,2026-05-14,51740,26%,26%,6.56,New Business,New Business,006DEMO00000000052,0,12,Net 30,Annual
Whitestone Electric - CW 54,Harper Lin,Whitestone Electric,Avery Greene,Outbound,207000,2025-09-02,2025-09-03,2025-09-21,2025-11-22,2026-03-18,59,2025-09-17,257728593,Patrick Yu,SDR Set - Outbound,Closed Won,ENT,185500,Manager,General Contractor,false,2026-04-18,2026-05-03,0,0%,0%,7.2,New Business,New Business,006DEMO00000000053,100,12,Net 30,Annual
Granite Industrial Services - CW 55,Harper Lin,Granite Industrial Services,,Event,186000,2025-06-29,2025-07-04,2025-08-01,2025-09-24,2025-11-01,52,2025-07-12,272132446,Patrick Yu,Event,Closed Won,ENT,169800,VP,Specialty Trades,true,2026-04-22,2026-05-11,0,0%,0%,6.24,New Business,New Business,006DEMO00000000054,100,12,Net 30,Annual
Highline HVAC - NB 56,Eddie Coleman,Highline HVAC,,Inbound,40000,2026-03-09,2026-03-10,2026-04-08,2026-06-08,2026-08-15,43,2026-03-20,7505749,Kevin Brand,AE Set - Inbound,Discovery,MM,36900,,Sheet Metal Contractor,false,2026-04-29,2026-05-11,0,0%,0%,49.16,New Business,New Business,006DEMO00000000055,25,12,Net 30,Annual
Cobalt Plumbing Group - CW 57,Harper Lin,Cobalt Plumbing Group,Avery Greene,6s Intent Signals,138000,2025-03-18,2025-03-19,2025-04-17,2025-06-06,2025-08-31,12,2025-03-22,248295553,Patrick Yu,6s,Closed Won,ENT,117400,,Plumbing Contractor,false,2026-05-09,2026-05-03,22080,16%,16%,4.73,New Business,New Business,006DEMO00000000056,100,12,Net 30,Semi-Annually
Beacon Industrial - NB 58,Harper Lin,Beacon Industrial,Wes Kim,Outbound,238000,2026-01-27,2026-02-01,2026-02-19,2026-04-01,2026-07-07,56,2026-02-04,188193742,Patrick Yu,SDR Set - Outbound,Evaluation,ENT,195500,C-Level,Mechanical Contractor,true,2026-05-07,2026-05-02,0,0%,0%,10.39,New Business,New Business,006DEMO00000000057,50,12,Net 30,Annual
Beacon Industrial - NB 59,Tomás Reyes,Beacon Industrial,,Webinar,57000,2025-12-02,2025-12-05,2026-01-01,2026-01-21,2026-07-18,14,2025-12-12,13141585,Kevin Brand,Webinar,Qualification,MM,47300,VP,Sheet Metal Contractor,false,2026-05-03,2026-05-01,0,0%,0%,35.99,New Business,New Business,006DEMO00000000058,10,12,Net 30,Monthly
Lakefront Mechanical - CL 60,Jamal Whitfield,Lakefront Mechanical,Avery Greene,Outbound,42000,2025-07-20,2025-07-22,2025-08-08,2025-10-15,2026-01-08,41,2025-07-23,23290110,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,39500,C-Level,HVAC Contractor,false,2026-04-19,2026-05-09,3360,8%,8%,16.96,New Business,New Business,006DEMO00000000059,0,12,Net 30,Monthly
Foothill Sheet Metal - CW 61,Eddie Coleman,Foothill Sheet Metal,Wes Kim,Outbound,55000,2025-09-14,2025-09-15,2025-10-06,2025-12-11,2025-12-02,4,2025-09-20,10510308,Kevin Brand,SDR Set - Outbound,Closed Won,MM,51300,Director,Sheet Metal Contractor,true,2026-05-05,2026-05-05,0,0%,0%,48.81,New Business,New Business,006DEMO00000000060,100,12,Net 30,Quarterly
Atlas Sheet Metal - NB 62,Harper Lin,Atlas Sheet Metal,,Inbound,125000,2026-05-27,2026-05-29,2026-06-22,2026-07-16,2026-08-31,45,2026-06-10,121567090,Patrick Yu,AE Set - Inbound,Discovery,ENT,108800,C-Level,Electrical Contractor,false,2026-05-13,2026-05-05,41250,33%,33%,8.95,New Business,New Business,006DEMO00000000061,25,12,Net 30,Annual
Granite Industrial Services - CL 63,Jamal Whitfield,Granite Industrial Services,Mira Schultz,Outbound,59000,2025-06-28,2025-07-03,2025-07-17,2025-09-15,2025-08-13,29,2025-07-08,38420634,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,50200,C-Level,HVAC Contractor,false,2026-04-20,2026-05-12,0,0%,0%,13.07,New Business,New Business,006DEMO00000000062,0,12,Net 30,Annual
Cobalt Plumbing Group - CL 64,Vikram Patel,Cobalt Plumbing Group,Wes Kim,6s Intent Signals,164000,2025-04-10,2025-04-14,2025-05-02,2025-06-17,2025-11-17,37,2025-04-27,219367233,Patrick Yu,6s,Closed Lost,ENT,137300,C-Level,Mechanical Contractor,true,2026-05-09,2026-05-02,27880,17%,17%,6.26,New Business,New Business,006DEMO00000000063,0,12,Net 30,Quarterly
Western Ridge Electrical - NB 65,Vikram Patel,Western Ridge Electrical,,Inbound,197000,2025-11-30,2025-12-02,2025-12-17,2026-01-21,2026-08-02,16,2025-12-11,94967243,Patrick Yu,AE Set - Inbound,Discovery,ENT,170600,VP,Plumbing Contractor,false,2026-05-03,2026-05-02,35460,18%,18%,17.96,New Business,New Business,006DEMO00000000064,25,12,Net 30,Monthly
Pinewood Construction Services - CL 66,Harper Lin,Pinewood Construction Services,Wes Kim,Outbound,55000,2025-01-12,2025-01-17,2025-02-04,2025-04-04,2025-09-13,58,2025-01-18,124755019,Patrick Yu,SDR Set - Outbound,Closed Lost,ENT,44500,,Plumbing Contractor,false,2026-05-05,2026-05-05,19800,36%,36%,3.57,New Business,New Business,006DEMO00000000065,0,12,Net 30,Quarterly
Anchor Plumbing - NB 67,Caroline Mead,Anchor Plumbing,,Inbound,70000,2025-12-11,2025-12-16,2026-01-08,2026-03-12,2026-08-02,18,2025-12-29,335990252,Patrick Yu,AE Set - Inbound,Discovery,ENT,54900,C-Level,Industrial Services,true,2026-05-10,2026-05-14,15400,22%,22%,1.63,New Business,New Business,006DEMO00000000066,25,12,Net 30,Monthly
Tannery Plumbing Co - CL 68,Eddie Coleman,Tannery Plumbing Co,Mira Schultz,Outbound,50000,2025-03-31,2025-04-04,2025-04-24,2025-05-22,2025-09-03,10,2025-04-07,9557010,Kevin Brand,SDR Set - Outbound,Closed Lost,MM,39300,C-Level,Industrial Services,false,2026-05-08,2026-05-10,0,0%,0%,41.12,New Business,New Business,006DEMO00000000067,0,12,Net 30,Quarterly
